provider_id,provider_lat,provider_lon,skills,rating,acceptance_rate_30d,avg_response_time_min,completed_jobs_90d
P27,12.20195129064547,82.19413004804933,TV installation|Fridge repair|TV repair,4.97,0.7,20.82,212
P28,18.71997922578073,75.02263821004536,Fridge installation,4.61,0.79,29.54,249
P29,31.152008624551982,72.37080877499746,Fridge repair|Fridge installation,4.02,0.88,26.03,261
P30,27.64936649342619,68.48104703890783,TV installation|Fridge repair|Fridge installation,4.02,0.69,20.06,137
P31,23.014789165296925,92.29359307131251,TV installation,4.35,0.89,7.85,108
P32,14.62795063212169,73.07369288578215,Fridge repair,4.96,0.81,9.3,263
P33,34.019256980646475,94.11212365773659,Fridge repair|TV repair,4.27,0.74,11.78,217
P34,34.01619753862474,93.7255063036884,Fridge repair,4.56,0.86,4.36,113
P35,25.58644273012811,68.26671449688226,Fridge installation,3.2,0.87,2.14,203
P36,28.064960733088103,86.90687652557541,Fridge installation|TV repair,3.45,0.88,8.64,286
P37,13.185858567418535,78.62759475290294,TV installation|TV repair,4.49,0.89,10.63,185
P38,10.716568267014683,78.66375828872357,Fridge repair|Fridge installation|TV installation,3.53,0.7,29.24,60
P39,33.86935010013629,86.30302015392063,Fridge installation|TV installation|TV repair,4.59,0.8,18.15,156
P40,24.58812177706631,90.28806641488296,Fridge installation,3.09,1.0,15.16,55
P41,34.531067316393006,78.73460230740788,TV repair,3.03,0.97,13.99,190
P42,24.59648160595431,96.42961592776533,TV installation,3.15,0.72,7.35,170
P43,17.190738149532052,72.91528965389668,TV installation|Fridge repair|Fridge installation,4.11,0.97,21.49,183
P44,10.818118319352287,85.83520957427592,TV repair|TV installation|Fridge repair,4.98,0.66,16.51,282
P45,32.61142405281556,71.96201861181883,Fridge installation|Fridge repair|TV installation,4.42,0.82,10.3,35
P46,31.49328844569624,93.14509723882301,TV repair|Fridge repair|Fridge installation,4.83,0.8,16.04,182
P47,13.633944651849225,70.0572865929979,Fridge repair|Fridge installation|TV installation,3.79,0.62,26.83,152
P48,18.891905626558376,70.7254762553852,Fridge repair,4.16,0.61,15.04,72
P49,36.4733857610054,92.32907156001154,TV installation|Fridge installation,4.72,0.7,3.09,280
P50,18.44552860092662,71.68475486690465,Fridge repair,4.04,0.91,8.04,14
P51,21.260689686798127,92.41866917534746,TV installation|Fridge repair|TV repair,3.39,0.76,21.59,153
P52,36.29971030441351,82.97271010073466,Fridge repair|Fridge installation|TV repair,3.65,0.92,9.58,101
P53,29.577236646974345,75.27495529305318,Fridge repair,3.37,0.63,13.99,138
P54,13.025535282054527,72.5366742374615,TV repair,3.5,0.82,22.01,246
P55,16.11808301143234,95.69109313923263,Fridge repair|TV installation|TV repair,4.48,0.82,19.13,256
P56,9.383767703057815,84.41507910432821,Fridge repair,3.32,0.65,11.57,229
P57,9.33407661863083,69.18113526725013,TV installation|TV repair,4.71,0.88,15.28,227
P58,30.137568267113416,91.4004763344726,TV repair,3.69,0.79,20.19,259
P59,25.859652843514276,86.41771587516166,Fridge installation,3.09,0.75,19.52,105
P60,32.83820539446135,87.10211531694941,TV installation,3.33,0.63,19.99,169
P61,35.26667700132377,84.68875115840049,Fridge installation,3.78,0.86,14.83,188
P62,31.798544796574706,86.1522504329456,TV installation|Fridge installation|Fridge repair,4.64,0.86,7.79,294
P63,10.011477725379798,70.92256203994538,TV installation,3.04,0.64,21.12,99
P64,17.250293278519077,92.50138401811418,Fridge repair|TV installation|Fridge installation,3.05,0.93,9.89,205
P65,28.093820402066243,78.10176152914272,Fridge installation|TV repair,4.87,0.62,13.7,258
P66,23.891184614194533,80.28065732693544,TV installation,4.14,0.83,22.49,45
P67,18.788524487990713,90.51597586151792,Fridge repair,3.68,0.97,26.04,192
P68,29.775260965953425,89.88174334845579,TV installation,3.21,0.96,16.15,226
P69,17.281438429887743,93.97017362638982,TV installation|TV repair|Fridge repair,3.78,0.6,27.35,85
P70,18.2922505234189,95.74722566866723,TV repair|Fridge installation|Fridge repair,4.35,0.79,15.8,153
P71,21.004920137371272,76.50311237924387,Fridge repair,3.66,0.87,23.07,160
P72,30.657585463664873,71.29047345850599,TV installation,4.86,0.99,29.89,131
P73,20.804384539827936,93.7434212999907,Fridge installation|TV repair,3.7,0.65,6.0,83
P74,32.271952352883844,93.13919245401439,TV installation|Fridge repair|Fridge installation,4.68,0.77,8.23,292
P75,28.48102458753839,70.3591146386151,Fridge installation,3.17,0.99,12.48,154
P76,35.4702087441319,96.59403085086325,TV installation|TV repair,4.51,0.75,4.34,191
P77,28.447446564603137,75.21300047847835,Fridge installation,3.66,0.77,9.1,251
P78,21.591158617829663,69.63279499477328,Fridge installation|TV installation,3.24,0.65,20.18,10
P79,27.75014338581036,74.88768766748163,TV repair|Fridge repair,3.8,0.79,4.32,126
P80,35.933453643777725,68.35247976600468,TV repair|Fridge installation|TV installation,4.94,0.62,26.95,222
P81,36.79597908745971,70.14010037732656,Fridge repair|TV repair|Fridge installation,4.11,0.99,16.65,242
P82,14.287464091008246,76.54032445834346,TV installation,4.99,0.88,12.76,21
P83,35.80236981482754,69.67805303497352,Fridge installation|TV repair|TV installation,3.79,0.64,11.4,131
P84,13.455513631989078,81.44725374325948,Fridge repair,3.71,0.83,4.18,50
P85,15.538546022773618,81.1439845580361,TV installation|TV repair,3.06,0.71,13.51,229
P86,15.857771632938768,71.86236863148874,TV repair|Fridge installation,3.15,0.98,13.67,206
P87,25.789040682137905,80.12904805242795,TV repair|Fridge installation|Fridge repair,4.87,0.95,3.27,128
P88,19.926398380975705,90.55046622832154,Fridge installation,3.96,0.99,12.55,291
P89,19.045834842299623,96.12751753662349,Fridge installation|TV repair,4.68,0.94,15.12,108
P90,11.881711445218363,68.39648697998292,TV repair|Fridge installation,3.15,0.88,16.96,142
P91,36.90246827514326,84.1075194624762,TV repair|TV installation,4.54,0.98,25.79,154
P92,14.991460137559324,73.94631452668922,Fridge installation|TV installation,3.5,0.71,7.8,297
P93,9.359997565945378,75.79150197873392,Fridge installation|TV repair,3.04,0.8,15.33,268
P94,23.084741532247808,92.71326350923766,Fridge repair,4.1,0.82,26.55,121
P95,21.92133304353578,80.19553758128717,TV repair,4.57,0.86,24.54,112
P96,11.954772792016323,68.42179530436857,TV repair|Fridge repair|TV installation,3.7,0.84,12.98,258
P97,22.905695185634514,90.72593736949315,TV repair,3.79,0.85,26.15,142
P98,31.097681494542442,81.321057430439,Fridge installation|Fridge repair|TV repair,4.68,0.91,3.85,78
P99,36.42094468327883,82.28592472579322,TV repair,3.66,0.85,8.72,120
P100,11.737511935408827,71.7133293297754,TV repair,3.3,0.66,19.94,193
P101,19.938175216368315,93.3552105407781,TV repair|Fridge repair|Fridge installation,4.03,0.99,18.85,60
P102,9.185189871727887,72.89911682909278,TV repair|Fridge repair,3.56,0.67,4.48,10
P103,23.49828160824317,78.32375304388759,TV repair,4.79,0.65,11.24,82
P104,10.676427000633637,81.9532164276325,TV repair|TV installation|Fridge repair,4.38,0.8,6.4,57
P105,9.771260835791049,76.02945179626892,TV installation|Fridge repair,4.61,0.9,7.17,216
P106,23.561128733632643,94.79721101411556,Fridge repair|TV repair|TV installation,3.47,0.9,16.88,163
P107,9.063812883827339,75.3206713859766,TV installation|Fridge repair,4.43,0.96,16.33,248
P108,8.88369242927423,93.14923445116698,Fridge repair|TV installation|Fridge installation,3.71,0.76,4.94,128
P109,18.941240730034057,68.58206473555407,TV repair,3.64,0.68,11.17,34
P110,33.82529114145696,85.21418115306741,TV repair|Fridge installation,4.36,0.92,15.96,120
P111,24.94178505671091,89.36785178645248,TV installation|Fridge repair|Fridge installation,4.12,0.83,17.8,51
P112,16.22950126816301,78.52938659556042,Fridge repair,4.29,0.83,11.97,238
P113,35.07706288903636,68.21849653088817,TV installation,3.45,0.75,15.66,104
P114,9.613951191352285,92.42710702364727,Fridge repair|TV repair,3.1,0.61,21.51,232
P115,34.0016976262466,84.70395411636414,Fridge repair|Fridge installation,4.83,0.6,29.3,103
P116,12.955740034311908,87.39065337780849,TV repair|Fridge repair|TV installation,4.86,0.82,18.01,182
P117,30.31529506256617,73.42426870816817,TV repair|Fridge installation|TV installation,3.65,0.77,16.21,122
P118,23.365360672252383,88.50967277368889,TV repair,4.54,0.63,16.17,268
P119,9.50288256785038,77.7615240676237,TV installation|Fridge installation|Fridge repair,3.27,0.63,29.72,22
P120,27.852574888515168,70.54817522603705,TV installation|Fridge repair|Fridge installation,3.28,0.6,5.27,47
P121,19.943386510270788,78.11717972974687,Fridge repair,4.86,0.93,29.02,146
P122,13.94505249154388,78.9976289639502,Fridge installation|TV installation|TV repair,4.85,0.89,3.35,276
P123,31.062752043936815,73.8471922813846,Fridge installation,3.33,0.67,24.81,87
P124,23.16889731830446,78.40608403958157,TV repair|Fridge installation,4.75,0.76,24.86,113
P125,18.93138845332232,81.41771378441858,TV installation|Fridge repair,3.6,0.9,16.08,162
P126,18.30551110273348,79.35298119584355,TV installation|Fridge repair,4.06,0.63,8.41,48
P127,11.390043180542559,95.25513158479077,Fridge installation|Fridge repair,4.26,0.73,5.9,24
P128,33.48024434582971,82.367285165715,TV repair,4.48,0.83,29.94,106
P129,28.502433376060313,90.57858623247178,TV installation,3.29,0.68,21.99,14
P130,33.42620346609073,77.92037071276131,TV repair|TV installation|Fridge installation,4.64,0.64,25.7,225
P131,25.514778290102864,82.56636207641337,TV installation|TV repair,4.08,0.79,13.45,182
P132,28.881059559836157,86.59328135367362,Fridge repair|TV repair,4.39,0.82,9.05,78
P133,31.97716600646327,95.8131690423568,TV installation|Fridge repair,3.69,0.69,13.86,227
P134,25.00066512848712,82.6707716876495,TV repair,4.22,0.61,26.42,142
P135,34.75248205414157,88.50992039508856,Fridge installation|Fridge repair,3.31,0.83,18.99,60
P136,29.356882833116963,95.09664342830143,TV installation|TV repair|Fridge repair,4.85,0.78,5.17,119
P137,13.403305505329499,92.28723288107227,Fridge installation,3.66,0.72,8.37,158
P138,18.999865253180914,89.58323990345538,TV installation,3.41,0.92,18.9,72
P139,20.020632941905202,93.04202607777574,Fridge repair|TV installation|TV repair,4.85,0.79,15.46,26
P140,25.02497849996045,68.9525534370597,TV installation|Fridge repair,4.83,0.7,18.17,189
P141,20.14883803563189,94.53053113097491,Fridge installation,3.72,0.83,19.7,165
P142,14.167742745895563,82.94003678979756,Fridge installation,4.95,0.78,17.6,72
P143,36.90935330353247,82.56365529960604,TV installation,4.19,0.63,23.0,220
P144,18.132222972430657,81.5787230248,Fridge repair|TV installation,4.25,0.75,25.42,28
P145,9.905550543422219,90.4903008841553,TV installation,3.91,0.81,14.34,123
P146,22.413346515816222,90.19533215092098,TV installation,3.21,0.73,4.11,140
P147,18.825970172112836,75.85159552116306,Fridge repair|TV installation,4.29,0.76,2.71,297
P148,28.76319463657453,87.10879431539439,Fridge repair,3.05,0.69,8.47,264
P149,8.57160559487656,71.01914887755264,Fridge installation|Fridge repair,4.6,0.67,20.28,273
P150,10.88380039002101,75.05199353898416,Fridge repair|TV repair|Fridge installation,4.44,0.94,25.25,174
P151,12.091373614553692,79.78537693993214,TV installation|Fridge repair,3.65,0.63,19.73,170
P152,14.028701399234793,68.76943391234077,TV repair|Fridge installation,3.36,0.83,13.8,11
P153,34.408096102668814,86.11807686025428,Fridge installation|TV installation|Fridge repair,3.67,0.93,12.17,128
P154,15.773845583863412,86.10031832762489,TV repair|TV installation,3.82,0.82,14.21,289
P155,11.312899851691508,84.40752197903025,TV installation|Fridge installation|TV repair,4.97,0.79,7.1,124
P156,22.861272020575726,89.5089213826313,Fridge installation|TV repair|Fridge repair,4.4,0.76,8.1,287
P157,32.21297686717968,96.54766324040301,Fridge installation|TV repair,4.05,0.67,9.62,84
P158,31.854932401438543,83.36018868099735,Fridge repair|Fridge installation|TV installation,4.63,0.8,3.88,174
P159,26.891191262204064,92.06251230750885,TV repair|Fridge repair|TV installation,3.41,0.6,5.83,296
P160,33.34281224931294,85.32497996293894,Fridge repair|Fridge installation|TV installation,4.2,0.87,6.91,182
P161,32.30510193217058,79.7270635449217,Fridge installation|Fridge repair,4.54,0.77,11.91,202
P162,10.401161369828667,85.49141117452525,TV installation|TV repair,3.49,0.76,10.08,173
P163,28.85233125034312,76.61652975307207,Fridge installation|Fridge repair,4.13,0.79,20.58,255
P164,11.915037045215001,82.02889331603997,TV installation|Fridge repair|Fridge installation,3.54,0.82,6.54,253
P165,9.49134859104326,82.39462116883585,TV repair|TV installation,4.19,0.73,23.59,82
P166,10.178995670338454,89.11747392990449,TV installation|Fridge installation,3.99,0.88,14.18,48
P167,10.202068900719041,70.25519497828975,Fridge repair|TV installation|Fridge installation,3.0,0.99,2.15,21
P168,18.468243011260775,70.6558801264724,TV installation|Fridge repair,4.83,0.65,28.61,21
P169,23.715127473972387,93.31542924041584,TV installation|Fridge repair,4.46,0.92,20.45,207
P170,36.436727205219654,94.19755056644472,Fridge repair,4.29,0.88,3.44,35
P171,9.14337752968667,88.46168000295496,Fridge repair|TV repair|Fridge installation,4.85,0.67,17.9,259
P172,17.072790838662037,71.49515478480747,Fridge repair|TV repair|Fridge installation,4.46,0.68,5.23,224
P173,31.064913300813824,89.60687189548639,TV repair,3.11,0.78,16.63,112
P174,9.073221406749287,85.29182647597953,TV installation,3.46,0.65,4.15,180
P175,17.856373949273916,89.01823637433408,TV repair|TV installation,3.13,0.73,17.11,219
P176,23.084875186483224,80.37769464299106,TV installation|Fridge repair,4.75,0.77,14.93,43
P177,8.616812914661226,93.36634850784178,Fridge installation|TV installation|Fridge repair,4.06,0.98,24.37,48
P178,8.275077575226444,69.52783124333963,TV installation,3.18,0.62,15.43,281
P179,33.33663631140382,96.53842060677957,TV repair|Fridge installation|TV installation,4.54,0.77,13.8,74
P180,14.924537227280767,71.20374928081044,TV installation,3.71,0.71,10.3,162
P181,16.040703725206434,94.3998339596685,Fridge installation|TV repair|Fridge repair,3.09,0.64,12.97,149
P182,35.736055229223325,91.14169034215811,Fridge installation,3.52,0.84,29.51,20
P183,34.20799504808284,96.68636238458741,Fridge installation,4.49,0.63,13.24,72
P184,14.686506678345552,92.0886330147681,Fridge repair|TV installation|Fridge installation,3.24,0.62,12.75,250
P185,35.76083762651645,91.95996517802502,Fridge installation|TV repair|TV installation,4.6,0.85,8.06,18
P186,34.904816212661174,96.85232685674663,Fridge repair|TV repair,3.35,0.76,23.23,71
P187,36.893737498395005,94.02564829333991,Fridge repair|Fridge installation|TV installation,3.93,0.85,22.94,98
P188,25.19525811040939,84.82250002729653,TV installation|Fridge installation|Fridge repair,3.18,0.95,9.44,38
P189,33.773694316200334,95.71389344866284,Fridge repair,4.72,0.92,20.35,270
P190,29.32116698118013,76.16033785674827,Fridge repair,3.51,0.6,21.48,185
P191,22.38039631728435,70.35034026132179,Fridge repair|Fridge installation,3.44,0.87,4.13,90
P192,9.783993760937816,93.60428180498639,TV installation,4.03,0.96,18.0,49
P193,27.662468424212843,84.40622695587794,TV installation,3.53,0.95,24.33,177
P194,15.113280435404702,72.56287913137325,TV installation|Fridge repair,3.32,0.73,8.68,190
P195,27.724082381048714,85.93972996824034,TV repair,4.51,0.66,26.66,258
P196,8.848171208002215,91.94868576637812,Fridge installation|TV installation,3.26,0.73,22.82,91
P197,31.721043699452803,92.13189116077452,Fridge installation|TV installation|TV repair,4.01,0.6,10.04,55
P198,17.466573718595498,84.23548505695605,Fridge installation,3.23,0.75,2.25,172
P199,11.72501282470255,76.21694549970186,TV repair|Fridge repair,3.04,0.77,25.52,69
P200,13.205422379291168,89.85726618746506,Fridge installation|TV repair,4.58,0.67,23.58,228
P201,12.824950021035898,90.35854448343193,Fridge repair|TV installation,4.42,0.79,3.62,129
P202,9.326518980562874,93.27456737841891,TV installation|Fridge installation,4.95,0.99,22.99,236
P203,25.237479917627816,79.12475555176303,Fridge repair,3.13,0.93,12.41,67
P204,8.02985491552337,72.60921021502594,Fridge installation|TV repair,3.94,0.98,4.86,48
P205,23.283698790144,91.951702208197,Fridge repair|Fridge installation,3.6,0.94,23.64,93
P206,26.980825214152922,75.92452628294807,Fridge installation|Fridge repair|TV repair,4.9,0.66,14.11,30
P207,34.37621081748674,92.86344267068246,TV installation|Fridge repair,4.93,0.9,14.38,266
P208,17.3015394727057,89.0082575058094,TV repair|TV installation|Fridge installation,4.49,0.68,26.31,289
P209,18.687263967989075,93.06638924534947,Fridge installation,3.95,0.99,7.19,154
P210,10.643770221779558,72.45608310667227,Fridge installation,3.91,0.81,2.5,190
P211,34.44324501383742,96.05782664479955,TV repair,3.37,0.78,2.03,282
P212,25.611886999617465,75.17865871249788,Fridge installation|TV installation,4.12,0.69,6.5,223
P213,24.877170655517563,75.80080872861784,Fridge installation,4.6,0.72,14.75,81
P214,21.473359302438496,87.73324216442043,Fridge repair|TV installation,3.79,0.99,22.21,20
P215,28.154474697669734,92.94354951848693,Fridge installation|TV installation,4.56,0.62,15.45,97
P216,12.231740147019218,70.9809797302873,Fridge installation,4.14,0.61,15.51,101
P217,28.371484145779014,84.2298118211205,TV repair,3.02,0.73,16.5,298
P218,33.593471088768396,70.39274749877222,TV installation|Fridge repair,4.65,0.74,11.02,175
P219,24.458684599585187,87.9944841049807,TV repair,4.6,0.68,6.69,132
P220,8.915998199943619,95.150155141067,TV installation,3.1,0.82,21.85,273
P221,35.473163416300125,86.13383514620449,TV repair,4.57,0.84,15.56,93
P222,24.037042125166796,85.32680001632598,TV installation|TV repair|Fridge repair,4.57,0.79,3.14,197
P223,29.216096130904624,70.3672694788871,TV repair|Fridge repair,3.12,0.7,6.47,252
P224,14.357205633383284,96.30009241875482,Fridge installation,3.67,0.67,24.11,192
P225,9.266188073513474,72.68850378025728,Fridge repair|TV installation|TV repair,3.04,0.86,11.3,68
P226,26.85944490406117,73.78673107694522,TV repair|Fridge installation|TV installation,4.36,0.63,2.86,222
P227,29.087903023222932,89.53848911479945,TV repair,3.85,0.74,12.39,29
P228,22.640501574897517,83.75571517753536,Fridge installation|TV installation,4.03,0.84,2.82,237
P229,33.32927390436816,94.1203540563265,TV installation|TV repair|Fridge repair,3.84,0.71,18.59,255
P230,18.415379860320712,79.13156740416609,Fridge repair,3.93,0.93,8.6,291
P231,28.75892397578057,94.36194309930359,TV repair|Fridge repair|Fridge installation,3.36,0.7,29.2,50
P232,15.169701157692135,93.25174713690284,Fridge installation|Fridge repair,3.89,0.81,12.06,139
P233,10.762583730684163,86.9115741203827,TV repair|Fridge repair,3.62,0.76,26.02,270
P234,17.430511862516152,90.43072064491142,Fridge repair|TV repair|TV installation,3.26,0.99,14.71,19
P235,10.131405672570367,72.92297924753868,TV repair|TV installation,4.04,0.73,25.21,266
P236,21.033581221198393,85.04864676220123,Fridge installation|Fridge repair,4.9,0.7,12.06,293
P237,9.063471381072747,89.35565843690358,Fridge installation,4.33,0.79,25.64,53
P238,20.944690748864982,93.0622691525509,Fridge repair,4.12,0.82,2.96,139
P239,11.566153447359175,74.70279646040176,Fridge installation|TV installation|Fridge repair,3.1,0.86,8.29,254
P240,10.568111942474001,70.99595975659645,Fridge repair|TV installation|TV repair,4.17,0.88,13.13,251
P241,35.98844219664532,68.14325944709788,Fridge repair,4.9,0.86,26.3,232
P242,15.372512817027303,83.13017135245018,TV installation|Fridge installation,3.69,0.81,5.52,135
P243,16.929968306144538,88.43574211936276,Fridge installation|TV installation|TV repair,3.4,0.87,29.16,138
P244,29.194054771255413,72.52875149897304,Fridge repair|TV repair,3.47,0.99,9.15,202
P245,32.30534339979519,95.39381236474668,TV installation|Fridge installation,4.37,0.8,19.3,145
P246,33.07365624269606,90.28706157118995,Fridge repair|TV installation,3.23,0.92,27.72,10
P247,14.254579419533798,87.10767863674707,Fridge repair|Fridge installation|TV repair,3.79,0.86,4.98,229
P248,12.619335912041349,85.54366375802569,TV installation|TV repair|Fridge repair,3.64,0.95,29.81,278
P249,30.68917903768993,84.44347156861336,Fridge installation|TV installation|TV repair,4.48,0.95,13.32,141
P250,27.360208181343957,91.42753231629649,Fridge installation|Fridge repair|TV installation,4.52,0.92,14.2,138
P251,11.486062605747644,83.79018384086464,TV repair|Fridge installation,3.01,0.73,12.26,208
P252,24.339728893105306,79.03217142275113,TV installation|Fridge installation,4.1,0.84,17.28,111
P253,10.122681789284865,85.50000920805996,TV installation|Fridge installation|Fridge repair,4.34,0.85,14.98,12
P254,23.72854628441241,95.59287823031374,Fridge repair|TV installation,4.69,0.97,24.79,162
P255,19.025672944789854,79.56586064601011,Fridge repair|TV installation|Fridge installation,4.16,0.81,19.02,30
P256,13.677561584822836,68.21932337436613,Fridge repair|TV installation,4.29,0.96,8.82,212
P257,19.022160759178952,73.71746967061344,TV repair,3.96,0.68,6.66,61
P258,27.43278500371731,94.95857044523768,TV installation|Fridge installation|TV repair,4.06,0.83,4.51,167
P259,28.768369552472613,75.90609602127248,TV installation|TV repair|Fridge repair,3.83,0.65,7.07,117
P260,13.261712083173181,83.22973812634474,Fridge installation|TV installation|Fridge repair,4.42,0.64,17.88,45
P261,20.311295330694495,70.5241299150421,TV installation,4.63,0.75,16.74,56
P262,35.59069692399305,85.44674278424361,TV installation|Fridge installation,4.64,0.95,8.39,18
P263,26.751571489262943,73.06842984199393,Fridge repair,3.72,0.96,23.56,58
P264,14.86924621025998,90.63523994207199,TV installation,3.55,0.93,13.86,211
P265,31.476369297284812,90.23302792081178,TV repair|Fridge installation,3.3,0.77,6.28,58
P266,29.36933860338128,93.02111524875363,Fridge repair|Fridge installation|TV repair,3.43,0.64,2.66,152
P267,14.677138884408228,73.97939877103437,Fridge installation|TV repair|Fridge repair,4.28,0.7,19.7,263
P268,12.111457412285954,75.96166736600364,Fridge repair|TV installation|Fridge installation,4.19,0.87,14.4,134
P269,28.81033520408711,88.08064838840671,Fridge repair|TV repair,4.98,0.65,4.92,227
P270,17.77958684990719,94.26021897756054,Fridge repair,4.55,0.71,20.07,173
P271,13.564152416843545,77.3777753013501,TV repair|Fridge installation,3.45,0.74,3.94,58
P272,32.12403028429124,87.4184758678849,Fridge installation|TV repair,3.14,0.86,9.59,209
P273,26.87544370236863,83.45577580998872,TV repair|Fridge installation|Fridge repair,3.65,0.73,20.75,224
P274,18.975816281090204,78.52538388353376,Fridge repair|TV repair|Fridge installation,4.99,0.78,11.34,159
P275,24.306607660459385,95.77113325065602,Fridge installation,3.35,0.88,7.63,217
P276,19.87485773715091,80.2579842884895,TV installation|Fridge repair|Fridge installation,4.64,0.6,10.42,145
P277,31.068048862902145,94.88815676490412,Fridge installation|TV installation,3.47,0.76,6.27,14
P278,29.37822652521005,90.28939433886674,Fridge installation|TV installation|TV repair,3.49,0.87,4.6,240
P279,33.075899568972666,85.64610596713395,TV repair|Fridge installation|Fridge repair,4.01,0.66,3.77,160
P280,15.630264527414443,78.44395581667405,TV repair|Fridge installation,3.18,0.97,17.51,189
P281,16.111402615672898,95.32922355396477,TV installation,4.75,0.66,24.02,152
P282,36.77258242987607,92.69132377460778,TV repair|Fridge installation|Fridge repair,3.42,0.97,5.26,91
P283,26.210551530406438,87.5548103858624,Fridge installation|Fridge repair,4.06,0.89,5.96,16
P284,16.835695033843184,70.34665920848632,Fridge installation|TV installation|TV repair,3.81,0.67,21.46,215
P285,36.29269582493753,86.58819024301462,Fridge repair,4.64,0.65,26.14,173
P286,25.58475738856789,72.03674271390837,Fridge repair|Fridge installation|TV installation,4.8,0.93,10.89,34
P287,27.32289968921615,71.53109542263297,TV installation,3.96,0.8,8.51,182
P288,23.936356540955494,96.00884267344338,TV installation|Fridge installation,3.86,0.72,16.17,155
P289,16.054826088728575,92.6920104889867,TV installation,3.0,0.61,18.87,160
P290,12.408720740730795,69.77913918620938,TV installation|Fridge installation|TV repair,4.56,0.78,3.63,276
P291,29.873352785972028,85.96543479082004,TV repair,3.59,0.77,6.78,158
P292,11.520163243250437,76.79497927946028,Fridge repair,3.2,0.88,3.74,269
P293,26.36249915439046,74.63794354055179,Fridge repair|TV installation|TV repair,3.47,0.69,6.87,133
P294,32.59246067223264,89.00520662062317,Fridge repair|Fridge installation,4.58,0.76,20.31,16
P295,23.23963403709056,81.96741054951102,Fridge repair|Fridge installation,3.35,0.75,28.99,192
P296,20.068465947213085,81.95898039742438,Fridge installation|TV installation|TV repair,3.04,0.7,23.29,74
P297,17.38151145243274,92.19479761268826,TV repair|TV installation|Fridge repair,4.26,0.68,3.81,169
P298,22.14776727386451,71.1823497616476,Fridge repair|TV repair|Fridge installation,4.1,0.78,25.64,192
P299,12.327895560555108,71.68879311793604,TV repair,4.73,0.7,20.25,236
P300,18.900760269227312,79.43981207853102,Fridge repair|Fridge installation|TV repair,3.92,0.91,26.98,114
P301,10.962336360068605,87.10207224001586,Fridge installation,4.89,0.92,4.14,106
P302,32.38527580335176,69.11436411990742,Fridge installation|TV installation|TV repair,4.8,0.78,19.84,299
P303,19.20411838560115,81.05360854017303,Fridge installation|Fridge repair|TV installation,3.45,0.96,14.62,182
P304,12.354901023694207,89.38557929292308,Fridge installation,4.02,0.87,3.17,96
P305,28.773378253817786,70.09044574396152,Fridge installation|TV installation,3.14,0.6,28.78,286
P306,19.240261713000315,81.39646116345772,TV repair|Fridge installation,4.98,0.99,28.38,37
P307,18.290399447449822,79.95179697762038,Fridge installation|Fridge repair,4.1,0.93,3.92,147
P308,8.607403869896471,70.3829783568164,Fridge repair|Fridge installation,4.94,0.72,23.54,58
P309,15.406991055871366,75.56068569767758,TV repair|TV installation,3.14,0.98,15.39,264
